runId,memoName,majors,storedP1,newP1,p1Delta,storedReadiness,newReadiness_simpleExclusion,newReadiness_rescaled,readinessDelta_simple,readinessDelta_rescaled,run26_oldP1_simple,run26_oldP1_rescaled,storedBadge,newBadge_simple,newBadge_rescaled,badgeFlipCause,dDimsAtOrBelow2,tensionBonusStored,minorCombinedRaw,minorCombinedPenalty,minorCapApplied
32,LGIT MedTech Market Entry_LastGen.md,7,2,1,-1,74.67,72.17,72.17,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,7.25,1.5,true
33,LG_Parallel_Gen.md,4,2,1.5,-0.5,67.86,66.61,66.61,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,8.5,1.5,true
34,Daikin_Last_Gen_docx_refix,9,2,1,-1,75.5,73,73,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,8.5,1.5,true
35,26-01-09-Pasha_DC_Last_Gen.md,11,2,1,-1,73,70.5,70.5,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,15.25,1.5,true
36,NEE New York Storage Market Entry_LastGen.md,7,2,1,-1,71.4,68.9,68.9,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,9.25,1.5,true
37,samsung_Final.md.docx,9,2,1,-1,63.22,60.72,60.72,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,8.75,1.5,true
38,MN_4_1.docx,14,2,1,-1,70.78,68.28,68.28,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,10.75,1.5,true
39,Zebra final.md,5,2,1.25,-0.75,75.03,73.15,73.15,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,8.5,1.5,true
40,ecolab5.docx,2,2,2,0,73.07,73.07,73.07,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
41,ecolab3.docx,1,3,3,0,72.66,72.66,72.66,0,0,,,NEEDS_WORK,NEEDS_WORK,NEEDS_WORK,,,0.5,4.75,1.5,true
42,ecolab2.docx,3,2,1.75,-0.25,60.92,60.29,60.29,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
43,ecolab1.docx,4,2,1.5,-0.5,65.66,64.41,64.41,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4,1.5,true
44,ecolab1.docx,4,2,1.5,-0.5,67.86,66.61,66.61,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
45,ecolab2.docx,3,2,1.75,-0.25,62.49,61.86,61.86,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3,1.5,true
46,Visiomex_1st_Gen.md,3,2,1.75,-0.25,79.33,78.71,78.71,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,7,1.5,true
47,samsung_entry.docx,3,2,1.75,-0.25,65.51,64.89,64.89,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4.75,1.5,true
48,Samsung_Bus_launch.docx,2,2,2,0,61.8,61.8,61.8,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4.75,1.5,true
49,Zebrav3.docx,2,2,2,0,65.98,65.98,65.98,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.75,1.5,true
50,Zebrav2.docx,3,1,1,0,67.28,67.28,67.28,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4.25,1.5,true
51,Samsungv5.docx,4,2,1.5,-0.5,65.38,64.13,64.13,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4,1.5,true
52,ecolab1.docx,3,2,1.75,-0.25,64.2,63.58,63.58,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4,1.5,true
53,ecolab2.docx,3,2,1.75,-0.25,56.45,55.82,55.82,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.25,1.5,true
54,ecolab1.docx,3,2,1.75,-0.25,66.87,66.25,66.25,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4,1.5,true
55,ecolab2.docx,2,2,2,0,61.24,61.24,61.24,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3,1.5,true
56,Visiomex_1st_Gen.md,3,2,1.75,-0.25,79.89,79.27,79.27,-0.62,-0.62,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,7.25,1.5,true
57,ecolab1.docx,5,2,1.25,-0.75,70.57,68.69,68.69,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
58,Zebrav5.docx,4,2,1.5,-0.5,69.33,68.08,68.08,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4.25,1.5,true
59,sumitomo_06_09.docx,5,2,1.25,-0.75,68.54,66.67,66.67,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
60,NEEv1.docx,1,3,3,0,69.88,69.88,69.88,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
61,NEEv4.docx,2,2,2,0,68.39,68.39,68.39,0,0,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4,1.5,true
62,NEEv5.docx,4,2,1.5,-0.5,73.73,72.48,72.48,-1.25,-1.25,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,3.5,1.5,true
63,Reckitt EU Vitamin Gummy.md,5,2,1.25,-0.75,68.5,66.62,66.62,-1.87,-1.87,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,4.25,1.5,true
64,US Vitamin Gummy Market.md,15,2,1,-1,73.92,71.42,71.42,-2.5,-2.5,,,MAJOR_REWORK,MAJOR_REWORK,MAJOR_REWORK,,,0.5,9.25,1.5,true
